type,variety,level_2,dist01,dist02,dist03,dist04,dist05,dist06,dist07,dist08,dist09,dist10,dist11,dist12,dist13,dist14,dist15,dist16,dist17
White Wine,Muscat Blanc * ,tons,90.4,210.5,18.5,53.4,49.8,34.4,517.2,274.8,357.2,17.9,2969.5,0.0,6878.8,11389.5,1.8,119.3,396.1
White Wine,Muscat Blanc * ,wt_ave_base,1000.64,1256.85,3110.2,2373.1,1419.5,686.34,1186.33,1253.08,1222.14,1398.88,239.79,0.0,365.16,159.49,1200.0,1884.79,607.95
White Wine,Muscat Orange ,brixfactor,16300.0,20800.0,0.0,0.0,0.0,0.0,0.0,3044.4444444444443,100.0,5940.0,100.0,100.0,100.0,0.0,0.0,13100.0,0.0
White Wine,Muscat Orange ,tons,17.1,15.0,0.0,0.0,0.0,0.0,0.0,150.5,454.0,46.4,606.0,997.1,737.0,0.0,0.0,0.1,0.0
White Wine,Muscat Orange ,wt_ave_base,1859.75,1550.0,0.0,0.0,0.0,0.0,0.0,1320.7,355.14,1219.61,506.71,482.15,410.69,0.0,0.0,1700.0,0.0
White Wine,Muscat of Alexandria ,brixfactor,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,6000.0,100.0,14166.666666666666,7530.0,5757.142857142857,100.0,0.0,20700.0
White Wine,Muscat of Alexandria ,tons,0.0,0.0,1.9,4.0,0.0,0.0,0.0,0.0,3.2,7.4,24.8,2898.9,129224.2,33251.8,1.0,0.0,90.4
White Wine,Muscat of Alexandria ,wt_ave_base,0.0,0.0,6000.0,2038.0,0.0,0.0,0.0,0.0,2200.0,1721.62,350.0,308.87,280.51,264.97,1600.0,0.0,891.48
White Wine,Other White  b/ ,brixfactor,100.0,0.0,6448.071428571428,100.0,100.0,100.0,100.0,1138.4615384615386,6262.0,6310.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
White Wine,Other White  b/ ,tons,3.3,0.0,20.4,0.5,1.8,7.9,24.0,50.3,17.6,18.8,2540.2,0.0,42.4,4050.0,36.3,9.0,70.4
White Wine,Other White  b/ ,wt_ave_base,3000.0,0.0,2741.91,2507.96,1800.0,469.06,1280.7,1751.56,1374.43,2184.04,402.52,0.0,157.31,199.72,545.45,2205.56,484.4
